id,company,company size,location,technology,seniority,salary employment min,salary employment max,salary b2b min,salary b2b max
f407ab4dc84b3e5cf99460b329e12c55,Grid Dynamics Poland,1000.0,Kraków,Java,senior,,,20000.0,28000.0
143e3b2f0df9b1c221d8063e66a571ab,Grid Dynamics Poland,1000.0,Wrocław,Java,senior,,,20000.0,28000.0
3c81a7c761f77a66cdd758ad3c61901f,Grid Dynamics Poland,1000.0,Gdańsk,Java,senior,,,20000.0,28000.0
f533164462b4d5d00d5c7d6f7a6d48fe,Grid Dynamics Poland,1000.0,Warszawa,Java,senior,,,20000.0,28000.0
50fe39d758c37752897c3c11b03b5a3f,Grid Dynamics Poland,1000.0,Kraków,Java,senior,,,23000.0,28000.0
e53a5651be3fa1b1a121bf50b3e1a74f,Grid Dynamics Poland,1000.0,Wrocław,Java,senior,,,23000.0,28000.0
3aa8d01bbc4edcced0932e40b28541bd,Grid Dynamics Poland,1000.0,Gdańsk,Java,senior,,,23000.0,28000.0
a2b685bba2377423246519116d88a65e,Grid Dynamics Poland,1000.0,Warszawa,Java,senior,,,23000.0,28000.0
e5539c7555a9ecadbc081590f0aa58cd,Grid Dynamics Poland,1000.0,Kraków,JavaScript,senior,,,20000.0,28000.0
23545ab1b418d42ddb98a2d3702b60b2,Grid Dynamics Poland,1000.0,Warszawa,JavaScript,senior,,,20000.0,28000.0
23d863e6e963bb62f19f47517ec66f2a,Grid Dynamics Poland,1000.0,Wrocław,JavaScript,senior,,,20000.0,28000.0
72ac0dfb984315c75437574296f6b12e,Grid Dynamics Poland,1000.0,Gdańsk,JavaScript,senior,,,20000.0,28000.0
d93829fc0e33d73c9a517b8bdab5b053,Mindbox,100.0,Warszawa,Java,senior,,,27300.0,39900.0
cbad3b31ee651ddb1bef8ec25cb9556e,Mindbox,100.0,Warszawa,Java,senior,,,27300.0,33600.0
98bb042e97f268e759f5c89768c63e3b,VIER,,Poznań,Kotlin,senior,,,23100.0,27720.0
dd9fda6697006576e03c21bb5506366f,VIER,,Poznań,Golang,senior,,,23100.0,27720.0
4df95b1e911e63f6179abd49deef3aab,GFT Poland,1000.0,Kraków,Python,mid,11000.0,20000.0,15120.0,26040.0
09a470e5bfe0f3cab6b37992987812b1,GFT Poland,1000.0,Poznań,Python,mid,11000.0,20000.0,15120.0,26040.0
5926164640bd7f792f86ead9d1db7492,GFT Poland,1000.0,Warszawa,Python,mid,11000.0,20000.0,15120.0,26040.0
891583bc9089034c8adb420f50ad61b4,GFT Poland,1000.0,Łódź,Python,mid,11000.0,20000.0,15120.0,26040.0
0c18b0f5a80c6adff614eed6e21c073d,Godel Technologies Europe,1000.0,Łódź,Python,mid,15000.0,20000.0,16000.0,23000.0
